gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3042306649	33b4ca40-0a46-4fa7-8ed4-4f51d1e3304c	urn:catalog:UNSM:Mammals:31000	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		US	in Omaha, Henry Doorly Zoo	Nebraska	PRESENT		9b049850-d958-11da-9047-b8a03c50a862									2015-05-05T00:00:00	5	5	2015	5219420	5219416	PRESERVED_SPECIMEN	UNSM	Mammals	31000		Henry Doorly Zoo		CC0_1_0		Henry Doorly Zoo		MANAGED	2021-02-24T21:47:28.400Z		INSTITUTION_COLLECTION_MISMATCH
3042303885	33b4ca40-0a46-4fa7-8ed4-4f51d1e3304c	urn:catalog:UNSM:Mammals:16656	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		US	in Omaha, Henry Doorly Zoo	Nebraska	PRESENT		9b049850-d958-11da-9047-b8a03c50a862									1987-06-01T00:00:00		6	1987	5219420	5219416	PRESERVED_SPECIMEN	UNSM	Mammals	16656		Henry Doorly Zoo		CC0_1_0		Henry Doorly Zoo | Preparator: Messenger, C.L.		NATIVE	2021-02-24T21:47:28.056Z		INSTITUTION_COLLECTION_MISMATCH
3025773412	8138eb72-f762-11e1-a439-00145eb45e9a	https://darwin.naturalsciences.be/uri/object/cd99d05d-dd29-415a-bc38-f50b1dcfacb2	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		BE			PRESENT		e88c96a3-5884-4e51-a580-e417ca4c9eed									2015-09-01T00:00:00	1	9	2015	5219420	5219416	PRESERVED_SPECIMEN	RBINS-Scientific Heritage	urn:catalog:RBINS:mam	42439		Société Royale de Zool. d'Anvers		CC_BY_NC_4_0	Royal Belgian Institute of Natural Sciences	Zoo d'Anvers			2021-01-26T11:17:37.727Z		TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3024382087	8581f44d-7373-4138-9a3f-7d7508047419	https://darwin.naturalsciences.be/uri/object/cd99d05d-dd29-415a-bc38-f50b1dcfacb2	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		BE			PRESENT		e88c96a3-5884-4e51-a580-e417ca4c9eed									2015-09-01T00:00:00	1	9	2015	5219420	5219416	PRESERVED_SPECIMEN	RBINS-Scientific Heritage	urn:catalog:RBINS:mam	42439		Société Royale de Zool. d'Anvers		CC_BY_NC_4_0	Royal Belgian Institute of Natural Sciences	Zoo d'Anvers			2021-01-25T14:04:06.685Z		TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3005118134	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66699571	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		RU		Primor'ye	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.438399	131.422279	27474.0						2015-06-25T10:18:00	25	6	2015	5219420	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	66699571		Светлана Мещерягина	2020-12-17T16:09:51	CC_BY_NC_4_0	Светлана Мещерягина	Светлана Мещерягина			2021-03-03T13:21:07.178Z	Sound;StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3003661016	d3c28e6c-1192-4ef4-a38a-df790df16dc3	1230817	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris subsp. altaica Temminck, 1844			Tallinn Zoo		PRESENT		676782cc-e81e-47ce-9504-34ea45395eb6									2010-01-11T00:00:00	11	1	2010	5219420	5219416	PRESERVED_SPECIMEN	TAM	TAMZ	TAMZ0223029				CC_BY_4_0					2020-12-22T15:24:13.403Z		COUNTRY_INVALID
2859656301	f440262c-1d2c-11e2-8fd4-00145eb45e9a		Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		DE	Tierpark Grimmen		PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862									2008-01-01T00:00:00			2008	5219420	5219416	PRESERVED_SPECIMEN	ZSRO	Collection Mammalogie	1162-Ma-2020				CC_BY_4_0					2021-03-03T10:23:07.191Z		INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2826212587	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/51551526	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		RU		Primor'ye	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.989818	132.890286	33657.0						2020-06-30T00:00:00	30	6	2020	5219420	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	51551526		Елена Голованова	2020-07-01T04:57:58	CC_BY_NC_4_0	Елена Голованова	Елена Голованова			2021-03-03T12:50:32.013Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2640783323	cd6e383d-33a0-4c8c-b91c-ede5a41b61e8	2018.21.1	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica, Temminck, 1844		FR	Zoo de Besançon		PRESENT	1	32b45fb7-1992-4f30-95c8-1604a38a57fa	47.231388	6.0325							2010-10-27T00:00:00	27	10	2010	5219420	5219416	PRESERVED_SPECIMEN	BOUM	Muséum de Bourges - Musée Gabriel Foucher	2018.21.1		Besson, Ludovic		CC0_1_0		Zoo de Besançon			2020-12-15T17:25:22.057Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2640783308	cd6e383d-33a0-4c8c-b91c-ede5a41b61e8	2020.10.1-tax	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica, Temminck, 1844		FR	Zoo de Besançon		PRESENT	1	32b45fb7-1992-4f30-95c8-1604a38a57fa	47.231388	6.0325							2013-02-04T00:00:00	4	2	2013	5219420	5219416	PRESERVED_SPECIMEN	BOUM	Muséum de Bourges - Musée Gabriel Foucher	2020.10.1-tax		Besson, Ludovic		CC0_1_0		Zoo de Besançon			2020-12-15T17:25:21.942Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
