OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
0,1,1,X,X,X,X,P,X,X,X,P,P,X,X,X,X,X,X,R,X,R,X,X,R,X,X,C,X,P,X,X,X,X,R,X,X,R,X,R,P,P,X,X,X,C,X,X,X,C,X,X,X,X,C,X,P,X,C,R,C,X,X,X,X,X,X,C,X,X,X,X,R,X,P,X,X,X,X,X,R,X,P,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,P,X,X,P,C,X,X,X,X,X,P,X,X,X,X,P,X,X,X,R,X,X,X,X,X,X,P,X,X,X,C,X,C,X,X,X,X,X,R,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,X,X,X,X,X,P,X,X,X,X,X,P,X,X,X,X,X,10,12,18,40
1,2,2,X,X,X,R,X,X,X,X,X,C,X,X,C,R,X,X,C,C,C,X,X,C,X,X,X,X,X,X,R,P,X,X,X,X,X,X,R,X,P,X,X,X,P,X,X,X,C,X,X,P,X,R,X,P,X,R,P,C,R,X,X,X,X,X,C,X,X,X,X,P,X,R,P,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,P,X,X,X,X,X,X,R,X,P,X,P,X,X,X,X,R,P,X,R,X,X,X,X,X,X,X,R,X,C,X,X,X,X,X,R,X,X,X,C,X,X,X,C,X,X,X,R,R,X,X,X,X,X,X,X,R,X,X,X,X,X,R,P,X,X,X,X,12,17,16,45
2,3,3,X,X,P,C,P,X,X,X,X,C,X,X,C,P,X,X,C,X,C,X,X,R,P,X,R,X,C,X,P,R,X,X,X,X,P,X,P,P,R,X,X,X,C,X,X,X,R,X,X,P,X,C,P,R,X,R,R,C,P,X,X,X,X,X,C,X,X,X,X,X,X,P,P,X,X,X,X,R,C,R,P,X,X,X,X,X,X,X,X,X,P,X,X,R,X,X,P,X,R,X,X,P,C,X,X,X,X,X,R,X,X,X,X,R,X,X,X,R,X,P,C,X,X,X,R,X,X,X,R,X,P,X,X,X,X,X,R,X,X,X,P,X,X,X,R,X,X,X,R,R,X,X,X,X,X,X,X,C,X,X,X,X,X,R,P,X,X,X,X,14,22,21,57
3,4,4,X,X,X,R,P,X,X,X,X,R,X,X,P,X,X,X,R,X,C,X,X,R,X,X,R,C,X,X,R,X,X,X,P,X,P,X,X,P,R,X,X,X,R,X,X,X,P,X,X,P,X,P,P,X,X,R,P,C,P,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,R,C,R,X,P,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,P,X,X,P,R,X,X,X,X,X,R,X,X,X,X,R,X,X,X,R,X,P,R,X,X,X,X,X,X,X,R,X,R,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,R,X,X,X,X,X,R,X,X,X,X,X,6,22,15,43
4,5,5,X,X,X,R,X,X,X,X,X,R,X,R,X,X,X,X,P,X,R,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,R,X,X,X,R,X,X,X,X,X,X,P,X,R,X,C,X,R,X,C,X,X,X,X,X,X,P,X,X,X,X,P,X,X,X,X,X,X,X,P,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,P,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,X,R,X,P,P,X,X,X,X,X,X,X,R,X,R,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,4,17,10,31
5,6,6,X,X,P,R,P,X,X,X,X,C,X,X,C,X,X,X,R,P,C,X,X,C,P,X,C,C,X,X,C,R,X,X,X,X,P,X,X,C,C,X,X,X,C,X,X,X,C,X,X,P,X,C,R,P,X,R,P,C,C,X,X,X,X,X,C,X,X,X,X,P,X,R,P,X,X,X,X,X,C,R,R,R,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,P,R,X,X,R,C,X,X,X,P,X,C,X,X,X,R,X,X,X,X,R,X,R,R,P,R,X,P,X,X,P,R,C,R,X,X,X,X,X,R,P,P,X,P,X,X,X,P,X,X,C,X,P,X,X,X,X,X,X,P,C,X,C,P,X,X,R,X,X,X,X,X,22,20,23,65
6,7,7,X,X,X,C,C,X,X,X,X,C,X,X,C,X,P,X,P,P,C,X,X,C,X,X,R,X,X,X,R,R,C,X,P,X,R,X,X,P,C,X,X,X,C,X,X,X,C,X,X,C,X,R,P,R,X,C,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,P,C,X,X,X,X,R,C,R,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,X,X,C,X,X,P,C,X,X,X,P,X,R,X,X,X,C,X,X,X,X,R,X,P,R,X,X,X,R,X,X,C,R,X,R,X,X,X,X,X,R,X,X,R,P,X,X,X,R,X,X,P,X,R,X,X,X,X,X,X,X,C,X,C,P,X,X,P,X,X,X,X,X,23,22,14,59
7,8,8,X,X,C,C,R,X,X,X,P,C,X,P,C,P,X,X,C,R,C,X,X,C,R,X,C,X,X,P,R,P,C,R,X,X,C,X,R,P,C,X,X,X,C,X,X,X,R,X,X,C,C,C,X,R,X,R,C,C,C,X,X,X,X,X,C,X,C,X,X,C,X,R,C,X,X,X,X,X,C,C,P,X,X,X,R,X,X,X,X,X,X,X,X,R,X,X,X,X,P,X,X,X,R,X,X,C,X,X,R,X,X,X,C,P,X,X,X,C,X,R,R,X,X,X,C,X,X,C,C,X,R,X,X,X,X,P,C,X,X,X,C,X,X,X,R,X,X,X,R,R,X,P,X,X,X,X,C,R,X,C,R,X,X,R,C,X,X,X,X,35,23,11,69
8,9,9,X,X,X,C,R,X,X,X,P,C,X,X,C,X,X,X,C,P,R,X,P,R,P,X,C,X,P,X,R,R,X,X,X,X,P,X,R,P,C,X,X,X,C,X,X,X,R,X,X,C,X,C,X,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,R,X,X,X,X,X,C,C,R,P,X,X,X,C,X,X,X,X,X,R,X,X,R,X,X,X,X,R,X,X,C,R,X,X,X,X,X,R,X,X,X,P,P,X,X,X,R,X,X,R,X,X,X,X,X,X,X,R,X,R,X,X,X,X,P,C,X,X,X,P,X,X,X,R,X,X,R,X,R,X,X,X,X,X,X,X,R,X,X,X,X,X,R,X,X,X,X,X,17,27,12,56
9,10,10,X,X,X,R,P,X,P,X,X,C,X,X,P,X,X,X,C,P,C,X,X,R,X,X,P,X,P,X,X,P,X,X,X,X,P,X,C,R,C,X,X,X,C,X,X,X,R,X,X,P,X,P,P,R,X,R,P,C,P,X,X,X,X,X,C,X,X,X,X,X,X,X,P,X,X,X,X,C,C,C,R,X,X,X,X,X,X,X,X,X,P,X,X,P,X,X,X,X,R,X,X,P,C,X,X,X,X,X,R,X,X,X,X,X,X,X,X,R,X,X,R,X,P,X,P,X,X,X,R,X,P,X,X,X,X,X,R,X,X,X,C,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,R,R,X,R,P,X,X,R,X,X,X,X,X,13,19,21,53
10,11,14,X,X,X,C,C,X,P,X,R,C,X,X,P,X,P,X,P,C,C,X,X,C,P,X,C,R,X,R,C,R,C,X,X,X,P,X,X,R,C,X,X,X,C,X,X,X,P,X,X,P,C,P,C,C,X,P,P,C,C,X,X,X,X,X,C,X,X,X,X,C,P,R,X,X,X,X,X,R,C,C,R,P,X,X,X,X,X,X,X,X,C,X,X,P,X,X,X,X,R,X,X,C,C,X,X,X,X,X,C,X,R,X,R,X,X,X,P,C,X,P,C,X,R,X,P,P,X,C,R,X,R,X,X,X,X,X,R,X,X,X,R,X,X,X,P,X,X,X,X,P,X,X,X,X,X,X,R,R,X,R,P,X,X,C,P,X,X,X,X,28,19,22,69
11,12,11,X,X,X,P,X,X,X,X,X,C,X,C,C,X,P,X,X,X,C,X,X,R,X,X,P,C,P,X,R,R,X,X,X,X,X,X,X,P,R,X,X,X,C,X,X,X,C,X,X,R,R,R,X,C,X,C,P,C,R,X,X,X,X,X,C,X,X,X,X,R,X,R,R,X,X,X,X,R,P,R,R,C,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,C,P,X,X,P,C,X,X,X,X,X,R,X,R,X,P,X,X,X,X,P,X,P,R,X,C,X,X,P,X,X,C,X,R,X,X,X,X,X,R,X,X,X,R,X,X,X,X,X,X,X,R,R,X,X,X,X,X,X,C,X,X,P,X,X,X,P,X,X,X,X,X,17,22,16,55
12,13,13,X,X,X,C,R,X,X,X,P,C,C,P,P,X,R,X,P,R,C,X,X,C,X,X,C,X,P,X,R,R,C,X,X,X,R,X,X,R,C,X,X,X,C,X,X,X,C,X,X,P,X,C,P,P,X,C,P,C,P,X,X,X,X,X,C,X,X,X,X,P,X,C,X,X,X,X,X,C,R,R,R,C,X,X,X,X,X,X,C,X,X,X,X,C,X,X,X,X,C,X,X,C,R,X,X,X,X,X,P,X,X,X,C,X,X,X,X,R,X,R,C,X,P,X,R,X,X,X,R,X,C,X,X,X,X,X,C,X,C,X,R,P,X,X,P,X,X,R,X,R,P,X,X,X,X,X,P,C,X,C,P,X,X,C,X,X,X,X,X,29,18,18,65
13,14,12,X,X,X,R,C,X,R,X,X,R,P,X,R,X,P,X,P,P,P,X,X,P,X,X,P,X,X,X,P,X,X,X,X,X,R,X,X,R,R,X,X,X,C,X,X,X,C,X,X,P,X,C,X,P,X,P,X,C,R,X,X,X,X,X,C,X,X,X,X,P,P,X,P,X,X,X,X,P,X,X,X,C,X,X,X,X,X,X,X,X,P,X,X,R,X,X,X,X,P,X,X,R,R,X,X,X,X,X,C,X,X,X,X,X,X,X,X,P,X,X,C,X,X,X,P,X,X,X,P,X,R,X,X,X,X,X,C,X,X,R,C,X,X,X,R,X,X,X,X,P,X,X,X,X,X,X,R,P,X,R,X,X,X,P,X,X,X,X,X,11,16,23,50
14,15,21,X,X,R,P,C,X,C,X,P,C,X,X,C,X,C,X,C,R,C,X,X,C,X,X,C,R,R,C,C,R,C,X,R,X,C,X,X,R,C,X,X,X,C,X,X,X,C,X,X,C,R,C,C,C,P,C,R,C,C,X,X,X,X,X,C,X,X,X,P,R,C,C,P,X,X,X,X,C,C,C,C,R,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,C,X,X,C,C,X,X,X,X,X,R,X,X,X,C,R,X,R,X,C,X,R,C,X,R,X,C,R,X,C,C,R,C,X,X,X,X,X,C,X,P,X,C,X,X,X,P,X,X,C,X,C,X,X,X,X,X,X,C,C,X,C,C,X,X,C,X,X,X,X,X,51,18,7,76
15,16,20,X,X,X,R,C,X,R,X,R,C,C,X,R,X,C,X,P,R,C,X,X,C,P,X,C,X,P,X,C,R,X,X,X,X,R,X,R,R,C,X,X,X,C,X,X,X,C,X,X,C,X,C,C,P,X,C,P,C,R,X,X,X,X,X,C,X,X,X,P,R,R,C,X,X,X,X,X,C,C,C,R,C,X,X,X,X,X,X,C,X,R,X,X,C,X,X,X,R,C,X,X,C,C,X,X,X,X,X,R,X,X,X,R,R,X,X,X,C,X,C,R,X,C,X,C,C,X,C,C,X,C,X,X,X,X,X,C,R,X,R,C,X,X,X,P,X,R,R,X,R,X,X,X,X,X,X,R,C,X,C,X,X,X,C,X,X,X,X,X,40,25,7,72
16,17,19,X,X,X,P,P,X,C,X,P,C,X,X,P,X,P,X,R,R,R,X,X,P,P,X,R,X,P,X,C,X,X,X,X,X,R,X,X,X,P,X,X,X,R,X,X,X,R,X,X,R,C,C,C,R,X,P,R,P,C,X,X,X,X,X,C,X,X,X,X,P,X,X,X,X,X,X,X,R,X,C,R,C,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,R,C,X,X,X,X,X,R,X,X,X,C,X,X,X,X,R,X,P,R,X,X,X,R,X,X,X,C,X,R,X,X,X,X,X,P,X,X,C,P,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,C,R,P,R,X,X,X,R,P,X,X,X,X,15,22,18,55
17,18,18,X,X,X,X,X,X,X,X,R,C,X,P,X,X,X,X,X,X,R,X,X,P,C,X,P,X,P,P,X,C,X,X,X,X,P,X,P,P,C,X,X,X,P,X,X,X,C,X,X,P,X,X,X,P,X,R,R,C,X,X,X,X,X,X,C,X,X,X,X,R,X,R,P,X,X,X,X,R,C,C,R,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,P,R,X,X,P,X,X,C,X,X,X,R,R,X,X,X,R,P,P,C,X,X,X,R,X,X,X,R,X,P,X,X,X,X,X,R,X,X,X,X,X,X,X,P,X,X,X,R,R,X,X,X,X,X,X,X,C,X,R,X,X,X,C,R,X,X,X,X,13,19,20,52
18,19,17,X,X,X,C,C,X,X,X,R,C,R,C,C,X,X,X,R,X,C,X,X,R,X,X,C,X,P,P,X,P,X,P,X,X,C,X,X,R,C,X,X,X,R,X,X,X,C,X,X,C,X,C,X,C,X,C,X,C,C,X,X,X,X,X,C,X,X,X,X,P,X,R,X,X,X,X,X,X,X,C,P,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,X,R,C,X,X,C,C,X,X,P,X,X,C,X,X,X,X,X,X,X,X,P,X,P,R,X,X,X,C,X,X,P,C,X,R,X,X,X,X,X,C,X,X,X,X,X,X,X,R,X,X,X,R,C,X,X,X,X,X,X,X,R,X,X,P,X,X,R,X,X,X,X,X,27,15,11,53
19,20,16,X,X,C,C,X,X,X,X,R,C,X,C,P,X,X,X,C,P,C,X,C,X,C,X,R,X,C,X,X,P,X,X,X,X,X,X,P,R,C,X,X,X,C,X,X,X,C,X,X,P,X,C,X,C,X,C,P,C,X,X,X,X,X,X,C,X,X,X,X,R,P,X,R,X,X,X,X,X,C,C,P,X,X,X,X,X,X,X,X,X,C,X,X,P,X,X,P,X,P,X,X,C,C,X,X,X,X,X,R,X,X,X,X,R,X,X,X,C,X,X,R,X,X,X,P,X,X,C,C,X,P,X,X,X,X,R,R,X,X,X,R,X,X,X,C,X,X,X,P,P,X,X,X,X,X,X,X,R,X,C,X,X,X,P,X,X,X,X,X,27,12,16,55
20,21,15,P,X,C,R,C,X,X,X,C,C,X,X,C,R,P,P,C,P,C,X,C,C,C,X,C,X,C,R,R,R,C,C,R,X,R,X,C,C,C,X,X,X,C,X,X,X,X,X,X,C,X,C,X,X,X,C,R,C,R,X,X,X,X,X,C,X,X,X,P,P,X,R,C,X,C,X,X,C,C,C,X,X,X,X,X,X,X,X,C,P,P,X,X,C,X,X,X,X,P,X,X,X,C,C,R,R,X,X,C,R,R,X,R,C,X,X,P,C,X,X,C,X,X,X,X,P,X,C,C,X,R,X,X,X,X,R,C,X,X,X,C,X,C,X,C,X,X,X,X,C,X,X,X,X,X,R,X,R,X,X,X,X,C,C,R,X,X,X,X,45,20,11,76
