gbifID,species,infraspecificEpithet,scientificName,decimalLatitude,decimalLongitude,
3005118134,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",43.438399,131.422279,
2826212587,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",42.989818,132.890286,
2640783323,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",47.231388,6.0325,
2640783308,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",47.231388,6.0325,
2580322266,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",46.653421,135.844293,
2309501945,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",29.24,79.28,
1809982003,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",63.25,14.75,
896996583,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",61.21749731620650,-149.90208853622800,
865739455,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",60.0,105.0,
861701205,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",44.5002,-90.0004,
861701155,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",44.5002,-90.0004,
583514995,Panthera tigris,altaica,"Panthera tigris altaica Temminck, 1844",38.63529757645880,-90.29505045345600,
3044735068,Panthera tigris,tigris,Panthera tigris tigris,20.394189,79.355913,
3039339099,Panthera tigris,tigris,Panthera tigris tigris,21.801769,89.666612,
3032081010,Panthera tigris,tigris,Panthera tigris tigris,20.315638,79.244449,
3032073957,Panthera tigris,tigris,Panthera tigris tigris,26.009602,76.453848,
3032057874,Panthera tigris,tigris,Panthera tigris tigris,22.22521,80.792048,
3018149173,Panthera tigris,tigris,Panthera tigris tigris,26.006496,76.462588,
3013999297,Panthera tigris,tigris,Panthera tigris tigris,11.997493,76.068651,
3013910723,Panthera tigris,tigris,Panthera tigris tigris,25.50335,76.938112,
2999070190,Panthera tigris,tigris,Panthera tigris tigris,11.662459,76.44762,
2992660447,Panthera tigris,tigris,Panthera tigris tigris,22.15943,80.645541,
2988581750,Panthera tigris,tigris,Panthera tigris tigris,27.54084,84.542386,
2988528104,Panthera tigris,tigris,Panthera tigris tigris,22.123081,88.690503,
2984361956,Panthera tigris,tigris,Panthera tigris tigris,26.097825,76.500154,
2980849637,Panthera tigris,tigris,Panthera tigris tigris,28.444478,81.358527,
2963953832,Panthera tigris,tigris,Panthera tigris tigris,22.274194,80.729555,
2963847823,Panthera tigris,tigris,Panthera tigris tigris,23.759835,80.910633,
2963839175,Panthera tigris,tigris,Panthera tigris tigris,11.828227,76.310739,
2898428266,Panthera tigris,tigris,Panthera tigris tigris,22.266345,80.686471,
2898418926,Panthera tigris,tigris,Panthera tigris tigris,22.039869,79.604164,
2898355239,Panthera tigris,tigris,Panthera tigris tigris,23.653228,80.906328,
2898352247,Panthera tigris,tigris,Panthera tigris tigris,23.767513,80.80785,
2898303205,Panthera tigris,tigris,Panthera tigris tigris,23.773304,80.975149,
2898300285,Panthera tigris,tigris,Panthera tigris tigris,22.370372,80.700641,
2898287224,Panthera tigris,tigris,Panthera tigris tigris,23.700383,80.874886,
2898277253,Panthera tigris,tigris,Panthera tigris tigris,23.695917,80.980838,
2883230306,Panthera tigris,tigris,Panthera tigris tigris,20.321888,79.266354,
2883109380,Panthera tigris,tigris,Panthera tigris tigris,22.230497,80.725015,
2873984602,Panthera tigris,tigris,Panthera tigris tigris,11.799619,76.645235,
2873931674,Panthera tigris,tigris,Panthera tigris tigris,26.77319,93.367749,
2873761077,Panthera tigris,tigris,Panthera tigris tigris,11.6839,76.744573,
2868364832,Panthera tigris,tigris,Panthera tigris tigris,23.729371,80.94355,
2868360813,Panthera tigris,tigris,Panthera tigris tigris,23.696047,80.850199,
2864754081,Panthera tigris,tigris,Panthera tigris tigris,12.004805,76.136315,
2862501016,Panthera tigris,tigris,Panthera tigris tigris,23.750506,80.830447,
2862495985,Panthera tigris,tigris,Panthera tigris tigris,29.432963,79.002341,
2862488146,Panthera tigris,tigris,Panthera tigris tigris,20.2275,79.222737,
2862443003,Panthera tigris,tigris,Panthera tigris tigris,22.228536,80.709805,
2862328023,Panthera tigris,tigris,Panthera tigris tigris,26.153528,76.509891,
2862294589,Panthera tigris,tigris,Panthera tigris tigris,22.21713,80.653483,
2862294179,Panthera tigris,tigris,Panthera tigris tigris,23.791808,80.867156,
2856773050,Panthera tigris,tigris,Panthera tigris tigris,23.713063,80.917989,
2856770008,Panthera tigris,tigris,Panthera tigris tigris,23.753574,80.897375,
2856719009,Panthera tigris,tigris,Panthera tigris tigris,23.70468,80.954899,
2856697003,Panthera tigris,tigris,Panthera tigris tigris,23.634911,80.985329,
2856695047,Panthera tigris,tigris,Panthera tigris tigris,23.69564,80.97305,
2856657035,Panthera tigris,tigris,Panthera tigris tigris,23.766048,80.952427,
2856654052,Panthera tigris,tigris,Panthera tigris tigris,23.640039,80.986228,
2856636012,Panthera tigris,tigris,Panthera tigris tigris,23.706108,80.813608,
2856628041,Panthera tigris,tigris,Panthera tigris tigris,23.787903,80.805732,
2856562043,Panthera tigris,tigris,Panthera tigris tigris,23.767258,80.932738,
2856560041,Panthera tigris,tigris,Panthera tigris tigris,23.75566,80.969094,
2856555047,Panthera tigris,tigris,Panthera tigris tigris,23.738134,80.85507,
2856551796,Panthera tigris,tigris,Panthera tigris tigris,22.214429,80.673901,
